id,lat,long
11837,28.551478,77.251543
11838,19.055229,72.830829
11839,19.113996,72.836565
11840,19.200527,72.82042
11841,19.209401,73.093948
11842,28.568814,77.220565
11843,18.96149,72.839962
11844,28.64197,77.2206
11845,19.284669,72.904947
11846,28.57678,77.336903
11847,23.803571,72.397926
11848,28.542735,77.259194
11849,26.846511,80.946683
11850,30.733315,76.779418
11851,28.64197,77.2206
11852,28.408912,77.317789
11853,19.241201,73.12906
11854,28.550471,77.198716
11855,32.726602,74.857026
11856,18.52043,73.856744
11857,12.916257,77.606958
11858,18.535841,73.885543
11859,28.635308,77.22496
11860,19.0162,72.8401
11861,13.010133,80.211216
11862,12.975971,80.221209
11863,19.093192,72.827806
11864,11.94164,79.809438
11865,21.142518,79.083949
11866,17.269247,78.723592
11867,13.037066,80.229595
11868,13.05747,80.260999
11869,13.060422,80.249583
11870,12.300978,76.667876
11871,15.433023,78.463689
11872,17.448543,78.391644
11873,17.395394,78.440545
11874,25.169511,75.85399
11875,19.075984,72.877656
11876,13.042466,80.157013
11877,26.147129,91.735551
11878,19.016027,72.85884
11879,13.018871,77.553504
11880,17.385044,78.486671
11881,8.487495,76.948623
11882,17.340479,78.308826
11883,17.48,78.33
11884,13.060422,80.249583
11885,8.487495,76.948623
11886,17.329071,78.569087
11887,13.099834,80.169822
11888,13.026604,77.585916
11889,12.892454,77.665468
11890,13.060422,80.249583
11891,17.385044,78.486671
11892,17.401204,78.451038
11893,12.958425,77.60373
11894,9.979118,76.277321
11895,26.147129,91.735551
11896,17.385044,78.486671
11897,17.385044,78.486671
11898,12.971599,77.594563
11899,13.040554,80.234571
11900,13.060422,80.249583
11901,12.975182,77.607995
11902,28.563138,77.207809
11903,13.015002,77.67795
11904,11.023654,76.944028
11905,13.060422,80.249583
11906,9.931233,76.267304
11907,28.644618,77.244826
11908,13.033611,80.268611
11909,8.487495,76.948623
11910,28.648702,77.233151
11911,19.13198,72.814465
11912,19.129738,72.829155
11913,26.449923,80.331874
11914,17.342896,78.313079
11915,28.506989,77.17511
11916,19.129738,72.829155
11917,17.412464,78.465267
11918,12.978022,77.572384
11919,13.060422,80.249583
11920,13.07246,80.240496
11921,13.060422,80.249583
11922,16.307112,80.439262
11923,20.429047,80.149403
11924,19.075984,72.877656
11925,20.429047,80.149403
11926,22.555637,88.364812
11927,19.209738,72.873702
11928,28.542511,77.207821
11929,17.368783,78.524671
11930,19.313341,74.307754
11931,19.145199,72.828883
11932,12.994988,77.653267
11933,28.984462,77.706414
11934,20.429047,80.149403
11935,17.414948,78.437135
11936,20.429047,80.149403
11937,23.039568,72.566005
11938,23.039568,72.566005
11939,13.023728,77.597628
11940,19.118655,72.828711
11941,19.048148,72.825016
11942,19.117137,72.846547
11943,18.951566,72.818637
11944,17.416924,78.426611
11945,28.602303,77.225786
11946,12.959188,77.656687
11947,28.623421,77.242501
11948,19.723307,76.496299
11949,18.423428,79.014813
11950,12.971599,77.594563
11951,20.429047,80.149403
11952,20.429047,80.149403
11953,18.559196,73.825233
11954,28.635308,77.22496
11955,12.971599,77.594563
11956,12.973679,77.610967
11957,12.960188,77.649186
11958,12.967401,77.648131
11959,12.55,77.4167
11960,12.963001,77.624973
11961,28.562726,77.119701
11962,16.666072,78.875225
11963,23.039568,72.566005
11964,17.385044,78.486671
11965,19.131754,72.811701
11966,28.522906,77.197759
11967,19.04144,72.902068
11968,18.560344,73.826741
11969,10.088933,77.059525
11970,10.030093,76.318138
11971,13.004266,77.613892
11972,20.429047,80.149403
11973,20.429047,80.149403
